dataset,profile,strategy,budget_tokens,eligible_n,coverage,pass_at_1_at_budget
mbpp,modal_qwen_cheap_groq_tests,one-shot,500,1,1.0,0.0
mbpp,modal_qwen_cheap_groq_tests,one-shot,1000,1,1.0,0.0
mbpp,modal_qwen_cheap_groq_tests,one-shot,2000,1,1.0,0.0
mbpp,modal_qwen_cheap_groq_tests,one-shot,4000,1,1.0,0.0
mbpp,modal_qwen_cheap_groq_tests,one-shot,8000,1,1.0,0.0
mbpp,modal_qwen_cheap_groq_tests,random-tests,500,0,0.0,
mbpp,modal_qwen_cheap_groq_tests,random-tests,1000,0,0.0,
mbpp,modal_qwen_cheap_groq_tests,random-tests,2000,0,0.0,
mbpp,modal_qwen_cheap_groq_tests,random-tests,4000,0,0.0,
mbpp,modal_qwen_cheap_groq_tests,random-tests,8000,1,1.0,0.0
